id,date,tweet,fav
145,2/22/2016 18:01,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
146,2/22/2016 17:59,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
147,2/22/2016 17:59,"b'RT @TheVRO: Have you seen #DeadpoolMovie yet? If so, check out what our hosts thought. https://t.co/QhbAkon5uD #deadpool https://t.co/IQr46\xe2\x80\xa6'",0
148,2/22/2016 17:56,"b'RT @The2552: Streaming later, but first a date with deadpool #DeadpoolMovie'",0
149,2/22/2016 17:53,b'RT @andrehenry: The dialogue in this movie was just like mine when I played with action figures as a kid. #DeadpoolMovie  https://t.co/7z9f\xe2\x80\xa6',0
150,2/22/2016 17:51,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
151,2/22/2016 17:47,b'RT @DuoRancell: Deadpool (2016) - Opening Scene #DEADPOOLpelicula #DeadpoolMovie #deadpoolsketchhunt https://t.co/wEH0OETLNb',0
152,2/22/2016 17:42,"b'RT @FlicksCity: ALL #Deadpool easter eggs, #Marvel #XMen Spider-Man &amp; Green Lantern references + post-credits https://t.co/NLLzAgt8Wg #Dead\xe2\x80\xa6'",0
153,2/22/2016 17:39,b'RT @thebestofmarvel: Marvel actors praising #DeadpoolMovie ! https://t.co/nAcgqFtcZF',0
154,2/22/2016 17:38,b'RT @ExtremeConsoles: #Deadpool week for us - check out this PS4 custom controller\n\n#DeadpoolMovie #superhero #ps4 #customcontroller #RT htt\xe2\x80\xa6',0
